"tid";"price";"timestep"
3107;62.35;2011-08-31 10:00:00
3108;51.81;2011-01-23 12:00:00
3113;52;2011-10-01 22:00:00
3114;36.98;2011-12-22 02:00:00
3123;47.1;2011-02-19 14:00:00
3124;46.99;2011-11-08 06:00:00
3131;47.47;2011-08-25 00:00:00
3132;61.02;2011-02-11 07:00:00
3135;24.52;2011-12-31 03:00:00
3137;21.63;2011-10-07 04:00:00
3138;54.58;2011-02-18 22:00:00
3140;74.06;2011-05-10 11:00:00
3142;65.9;2011-03-29 07:00:00
3144;67.68;2011-10-13 18:00:00
3149;15.14;2011-12-18 04:00:00
3151;71.33;2011-03-03 18:00:00
3152;20.32;2011-12-30 00:00:00
3158;61.2;2011-05-26 09:00:00
3159;59.06;2011-08-23 17:00:00
3161;51.27;2011-02-10 22:00:00
3163;44.97;2011-01-29 04:00:00
3164;30.93;2011-08-03 02:00:00
3166;44.69;2011-01-02 09:00:00
3167;65;2011-07-05 12:00:00
3169;45;2011-03-25 04:00:00
3162;37.68;2011-06-22 03:00:00
3165;58.23;2011-12-05 08:00:00
3168;48.41;2011-04-26 23:00:00
3171;67.16;2011-12-10 18:00:00
3172;54.02;2011-07-25 09:00:00
3175;40.63;2011-06-19 21:00:00
3176;44.32;2011-10-03 16:00:00
3177;52.43;2011-02-28 23:00:00
3178;31.46;2011-12-31 23:00:00
3179;62.92;2011-06-29 12:00:00
3180;20.51;2011-04-24 15:00:00
3182;53.19;2011-06-25 13:00:00
3191;10.43;2011-09-07 04:00:00
3195;52.84;2011-06-23 18:00:00
3197;61.72;2011-06-09 14:00:00
3199;49.81;2011-03-19 17:00:00
3200;66.02;2011-06-21 08:00:00
3201;34.8;2011-12-02 03:00:00
3202;55.85;2011-08-02 08:00:00
3204;44.75;2011-02-13 09:00:00
3207;65.28;2011-10-10 13:00:00
3209;31.95;2011-10-30 06:00:00
3213;44.94;2011-09-25 23:00:00
3215;56.14;2011-05-03 23:00:00
3216;63.06;2011-02-02 09:00:00
3217;49.89;2011-04-22 17:00:00
3218;73.31;2011-09-19 06:00:00
3220;54.48;2011-12-22 12:00:00
3225;48.74;2011-03-28 05:00:00
3229;55.01;2011-04-16 13:00:00
3231;49.86;2011-06-21 23:00:00
3238;56.02;2011-02-19 11:00:00
3239;67.13;2011-02-25 10:00:00
3241;47.64;2011-11-02 21:00:00
3244;60.81;2011-01-21 20:00:00
3246;55.97;2011-06-28 12:00:00
3248;55.05;2011-01-02 17:00:00
3249;66.12;2011-03-23 07:00:00
3251;107.83;2011-11-22 18:00:00
3253;56.19;2011-08-23 19:00:00
3255;61.5;2011-01-25 07:00:00
3259;60.59;2011-04-02 10:00:00
3261;56.83;2011-02-12 09:00:00
3263;45.63;2011-06-14 01:00:00
3264;51.08;2011-03-16 16:00:00
3266;40.01;2011-07-29 05:00:00
3267;47.03;2011-01-30 00:00:00
3268;53.2;2011-02-10 06:00:00
3271;44.52;2011-12-02 06:00:00
3272;68.73;2011-09-09 13:00:00
3273;63;2011-03-07 06:00:00
3275;37.35;2011-12-17 22:00:00
3277;35.11;2011-12-03 05:00:00
3278;67.54;2011-01-26 11:00:00
3281;40.69;2011-09-29 01:00:00
3287;67.56;2011-05-05 12:00:00
3288;32.18;2011-06-13 03:00:00
3291;50.98;2011-08-08 12:00:00
3292;44.99;2011-01-31 04:00:00
3294;67.99;2011-09-01 13:00:00
3297;29.66;2011-07-30 05:00:00
3298;42.55;2011-07-02 20:00:00
3299;38.17;2011-11-06 01:00:00
3300;29.41;2011-03-17 03:00:00
3302;39.88;2011-07-06 02:00:00
3303;31;2011-08-12 02:00:00
3304;19.62;2011-12-25 14:00:00
3305;50.83;2011-02-16 22:00:00
3307;33.23;2011-12-04 00:00:00
3308;44.29;2011-04-29 01:00:00
3312;17;2011-12-17 04:00:00
3315;42.7;2011-01-30 16:00:00
3317;28.01;2011-09-11 06:00:00
3318;69.09;2011-01-04 10:00:00
3320;56.02;2011-07-08 22:00:00
3324;49.63;2011-10-24 12:00:00
3325;46.01;2011-04-24 23:00:00
