"tid";"k_sa";"k_su";"k_wd";"my_sa";"my_su";"my_wd";"quarter_hour";"sigma_sa";"sigma_su";"sigma_wd"
63;0.48111528158187866;0.46316272020339966;0.40509483218193054;0.08106134831905365;0.08986610919237135;0.08580916374921799;77;0.05745330825448036;0.06352556496858597;0.05662398412823677
64;0.44922429323196406;0.49097341299057007;0.4319763779640198;0.07124936580657959;0.0736074447631836;0.06697830557823181;57;0.04818795621395111;0.04878637567162514;0.04323231801390648
65;0.4467390179634094;0.3951581120491028;0.37288591265678406;0.08578519523143768;0.09738584607839584;0.09234856069087982;80;0.05888884887099267;0.06539256870746613;0.059555716812610626
66;0.4648464024066925;0.4387033879756927;0.40492674708366394;0.07201678305864334;0.0727354884147644;0.0666147843003273;61;0.0477447547018528;0.04726569727063179;0.04143207147717476
67;0.5043016076087952;0.4950007200241089;0.4217500388622284;0.07128464430570602;0.07562293112277985;0.061937764286994934;46;0.04868432134389877;0.05215902253985405;0.04004840180277824
68;0.10647428780794144;0.107617124915123;0.14182870090007782;0.041958749294281006;0.042679108679294586;0.041754741221666336;19;0.019127698615193367;0.01953504979610443;0.019553644582629204
69;0.25424259901046753;0.2619442045688629;0.1983701139688492;0.04804740473628044;0.04992111027240754;0.04441605880856514;5;0.02501058392226696;0.026898164302110672;0.021685900166630745
70;0.4477888941764831;0.4622269868850708;0.4234637916088104;0.0715678483247757;0.0739922747015953;0.06324455142021179;40;0.0481005422770977;0.05001940205693245;0.04076659306883812
71;0.40653550624847407;0.39065757393836975;0.3900296092033386;0.07219570130109787;0.07145746797323227;0.06792891770601273;67;0.046882178634405136;0.045518629252910614;0.04153543710708618
72;0.12969528138637543;0.11174722015857697;0.14653930068016052;0.04247654974460602;0.04313455894589424;0.04303543269634246;21;0.020004335790872577;0.0198324266821146;0.020192909985780716
74;0.35242655873298645;0.2878418564796448;0.2879583239555359;0.08992834389209747;0.10348036885261536;0.10091273486614229;84;0.05798335000872612;0.06275726854801178;0.06098710000514984
78;0.4283864200115204;0.45866096019744873;0.3975088894367218;0.07373494654893875;0.076910100877285;0.07254330813884734;71;0.0485723651945591;0.05134490504860878;0.04622053727507591
79;0.44701436161994934;0.4148452877998352;0.38456565141677856;0.07075395435094833;0.07132823020219803;0.0670299381017685;65;0.04614931717514992;0.045212522149086;0.041153278201818466
80;0.21672247350215912;0.23464025557041168;0.2171694040298462;0.08684815466403961;0.08333799988031387;0.08491837233304977;92;0.050974562764167786;0.048925403505563736;0.04997875913977623
82;0.2755632698535919;0.29670587182044983;0.25294238328933716;0.05283850058913231;0.05479955300688744;0.04721540957689285;3;0.028629451990127563;0.03104998730123043;0.02452119067311287
83;0.46307209134101873;0.48537054657936096;0.4303986728191376;0.07089775055646896;0.0753868967294693;0.061828400939702995;45;0.04774561524391174;0.051585711538791656;0.039817675948143005
84;0.16646315157413483;0.12842416763305664;0.22247961163520813;0.04267046973109245;0.04345409572124482;0.04478725045919418;23;0.02022259496152401;0.02055391855537891;0.02252200618386269
86;0.4916953444480896;0.4978600740432739;0.44088438153266907;0.0709625855088234;0.0743403211236;0.06769739836454391;56;0.0484340563416481;0.04994013532996178;0.044223681092262275
89;0.4083855152130127;0.4234026074409485;0.3848527669906616;0.07317613810300827;0.0739946663379669;0.06936835497617722;69;0.04791945964097977;0.04799962416291237;0.04330740123987198
90;0.1914536654949188;0.150224968791008;0.4234716296195984;0.04729699715971947;0.04764014855027198;0.060578763484954834;27;0.02320803888142109;0.022651636973023415;0.038290686905384064
93;0.4647481441497802;0.4167859256267547;0.3848590552806854;0.08348977565765381;0.09246271103620529;0.08967500180006027;79;0.057111695408821106;0.062350351363420486;0.0581204779446125
94;0.41800412535667414;0.4113660454750061;0.4132533073425293;0.06780701875686646;0.06306422501802444;0.06601320207118988;35;0.044035591185092926;0.03928489610552788;0.041639987379312515
95;0.47212955355644226;0.4585903882980346;0.43880996108055115;0.07142464816570282;0.07532359659671783;0.06244523450732231;43;0.0488574244081974;0.051394857466220856;0.04031732678413391
73;0.11137352883815764;0.09494686871767045;0.14357323944568634;0.042343851178884506;0.042682163417339325;0.04231767728924751;20;0.01932683028280735;0.019472913816571236;0.019676441326737404
75;0.5132295489311218;0.5507316589355469;0.4872647523880005;0.07141626626253128;0.07769831269979477;0.06548866629600525;51;0.04966453835368157;0.05596303567290306;0.04439889267086983
76;0.4526885151863098;0.46346262097358704;0.44245383143424993;0.07155593484640121;0.07452810555696487;0.06299077719449997;42;0.04862910881638527;0.05093660578131676;0.04074643924832344
77;0.4620392918586731;0.48483747243881226;0.4178374111652374;0.07931790500879288;0.08555412292480469;0.08079791069030762;75;0.05582648143172264;0.061017297208309174;0.05374747887253761
81;0.26866987347602844;0.2781222462654114;0.2222949415445328;0.04978897050023079;0.05225749313831329;0.045546405017375946;4;0.02678687311708927;0.02902013435959816;0.02304099313914776
85;0.25365379452705383;0.2592194676399231;0.18382801115512848;0.04651053249835968;0.04827526956796646;0.04334717243909836;6;0.023745378479361538;0.025423020124435425;0.020829644054174423
87;0.42516472935676575;0.4082240164279938;0.3788808584213257;0.0712318941950798;0.07142046838998795;0.06764264404773712;66;0.04617420583963394;0.04467860609292984;0.04155774787068367
88;0.4575282335281372;0.4552728831768036;0.401177316904068;0.07460217922925949;0.07828652858734131;0.07379104942083359;72;0.05047037452459335;0.05341774970293045;0.04764987528324127
91;0.20359931886196136;0.210258424282074;0.13449783623218536;0.04455067217350006;0.04611438140273094;0.042566269636154175;8;0.021902048960328106;0.023021604865789413;0.019686197862029076
92;0.4861159324645996;0.5166513323783875;0.448401153087616;0.07101330906152725;0.0765742212533951;0.06289314478635788;49;0.04901816323399544;0.05271530523896217;0.04131809622049332
96;0.4707208573818206;0.45219552516937256;0.40227386355400085;0.07163425534963608;0.0719970166683197;0.06682409346103668;60;0.04851168021559715;0.046744756400585175;0.04148651286959648
