"tid";"cp";"type";"v"
11891;0.479507331;Enercon E-82;7
11892;0.046772065;Enercon E-48;25
11899;0.33512597;Enercon E-71;14
11900;0.244335244;GE 1.6-82.5;5
11902;0.005962334;Enercon E-101;30
11905;0;Enercon E-101;42
11906;0;Enercon E-48;41
11908;0.39610618;Enercon E-82;4
11909;0.286255595;Enercon E-82;3
11916;0;Enercon E-101;50
11917;0.459473517;Enercon E-48;6
11918;0;GE 2.5-103;42
11919;0;GE 1.6-82.5;3
11920;0.089460489;Enercon E-71;22
11921;0;Enercon E-48;38
11925;0;Enercon E-70;31
11926;0;GE 1.6-82.5;43
11929;0;Enercon E-71;28
11930;0.427586676;GE 1.85-82.5;5
11931;0.420593599;Enercon E-101;5
11932;0;Enercon E-82;47
11935;0;Enercon E-53;36
11936;0;Nordex N100/2500;37
11937;0.430345211;Enercon E-82;5
11938;0;Enercon E-48;27
11939;0;Enercon E-71;46
11940;0;Enercon E-48;43
11943;0;Enercon E-53;31
11944;0;Enercon E-71;34
11947;0.089073214;Enercon E-70;22
11948;0.459241219;GE 2.5-103;8
11953;0.068907355;Enercon E-71;24
11954;0.266331456;Enercon E-48;14
11957;0;Enercon E-53;34
11958;0;Enercon E-70;32
11959;0.427586676;GE 1.85-82.5;10
11960;0;GE 1.85-82.5;31
11961;0.082377205;GE 1.85-82.5;19
11962;0.115933516;Enercon E-82;2
11965;0;Enercon E-70;29
11966;0;Enercon E-82;35
11967;0.296776451;Nordex N100/2500;12
11968;0.015873584;Enercon E-101;28
11971;0.230965702;Enercon E-82;14
11972;0.469338237;Enercon E-101;7
11975;0;Enercon E-53;44
11976;0.060065219;Enercon E-48;23
11979;0;Enercon E-48;49
11980;0;GE 2.5-103;32
11983;0.003276449;Enercon E-101;31
11984;0.099464785;GE 1.6-82.5;17
11987;0;Enercon E-48;1
11988;0;Enercon E-71;45
11989;0;Enercon E-82;40
11991;0;Enercon E-53;41
11992;0.052089249;Enercon E-82;23
11994;0;GE 2.5-103;27
11999;0.424690349;Nordex N100/2500;10
12000;0.178421268;Enercon E-48;16
12002;0.091763934;Enercon E-44;22
12003;0;Enercon E-44;42
12004;0.237239666;Enercon E-44;16
12005;0;Enercon E-71;27
12007;0.153982107;Nordex N100/2500;15
12009;0.477599927;Enercon E-101;8
12011;0;Enercon E-53;29
12013;0;Enercon E-44;43
12015;0;GE 2.5-103;35
12016;0;Nordex N100/2500;42
12018;0;Enercon E-44;36
12022;0;Enercon E-82;46
12023;0.381824307;Enercon E-70;6
12025;0.27924855;Enercon E-101;3
12026;0;GE 1.85-82.5;26
12046;0;no_type;18
12047;0;no_type;19
12048;0;no_type;20
12049;0;no_type;21
12050;0;no_type;22
12051;0;no_type;23
12052;0;no_type;24
12053;0;no_type;25
12054;0;no_type;26
12055;0;no_type;27
12056;0;no_type;28
12057;0;no_type;29
12058;0;no_type;30
12059;0;no_type;31
12060;0;no_type;32
12061;0;no_type;33
12062;0;no_type;34
12063;0;no_type;35
12064;0;no_type;36
12065;0;no_type;37
12066;0;no_type;38
12067;0;no_type;39
12068;0;no_type;40
12069;0;no_type;41
12070;0;no_type;42
12071;0;no_type;43
12072;0;no_type;44
12073;0;no_type;45
12074;0;no_type;46
12075;0;no_type;47
12076;0;no_type;48
12077;0;no_type;49
12078;0;no_type;50
